Language,Sentence,Target,true_flag,label_roberta,probability_roberta,label_langid,probability_langid,correct_prediction
French,Elle aime lire des livres.,She likes to read books.,fr,fr,0.9879044890403748,fr,0.9999999998969515,1
French,Il va au marché.,He goes to the market.,fr,fr,0.9901942610740662,fr,0.9999999872132072,1
French,Ils jouent au football.,They play football.,fr,fr,0.9895025491714478,fr,0.9999998907362435,1
French,Le soleil brille de mille feux.,The sun shines brightly.,fr,fr,0.9670220613479614,fr,0.9999999999997509,1
French,Peux-tu m'aider avec ça ?,Can you help me with this?,fr,fr,0.9928673505783081,fr,0.9999999999998308,1
French,J'aime écouter de la musique.,I like listening to music.,fr,fr,0.9905948638916016,fr,0.9999999999998395,1
French,Les fleurs sont en train de fleurir.,The flowers are blooming.,fr,fr,0.9921735525131226,fr,0.9999999999999709,1
French,C'est mon film préféré.,This is my favorite movie.,fr,fr,0.9915988445281982,fr,0.9999999999997902,1
French,Il travaille dans une banque.,He works in a bank.,fr,fr,0.9925630688667297,fr,0.9999999999999942,1
French,Les enfants jouent dans le parc.,Children play in the park.,fr,fr,0.9876825213432312,fr,1.0,1
French,Elle a cuisiné un délicieux repas.,She cooked a delicious meal.,fr,fr,0.9864667057991028,fr,0.9999999999999998,1
French,Il pleut dehors.,It's raining outside.,fr,fr,0.6458275318145752,fr,0.9999875375508304,1
French,Nous partons en vacances.,We're leaving for vacation.,fr,fr,0.9943124055862427,fr,0.9999006895847097,1
French,Il a acheté une nouvelle voiture.,He bought a new car.,fr,fr,0.9924389123916626,fr,1.0,1
French,Le chien est très amical.,The dog is very friendly.,fr,fr,0.9883763194084167,fr,0.9999999999999751,1
French,Elle chante magnifiquement.,She sings beautifully.,fr,fr,0.9802632927894592,fr,0.9999922329531175,1
French,Ils habitent dans une grande maison.,They live in a big house.,fr,fr,0.9936239719390869,fr,0.9999999999999785,1
French,Il est un bon professeur.,He is a good teacher.,fr,fr,0.9332202076911926,fr,0.9999999999617222,1
French,La réunion commence à 10h.,The meeting starts at 10 a.m.,fr,fr,0.9886695742607117,fr,0.9999999999999993,1
Luxembourgish,D'Kaz sëtzt op der Mat.,The cat is sitting on the mat.,lb,de,0.8194984793663025,lb,0.999999999951531,0
Luxembourgish,Si liest gär Bicher.,She likes to read books.,lb,de,0.9711515307426453,de,0.999632645944857,0
Luxembourgish,Hie geet op de Maart.,He goes to the market.,lb,nl,0.9953721165657043,nl,0.9999998206846565,0
Luxembourgish,Si spillen Fussball.,They play football.,lb,it,0.35333308577537537,nl,0.5675480695767998,0
Luxembourgish,D'Sonn schéngt hell.,The sun shines brightly.,lb,de,0.9940833449363708,nl,0.6180909507077285,0
Luxembourgish,Kanns du mir heibäi hëllefen?,Can you help me with this?,lb,ur,0.5774301886558533,lb,0.9999991235591571,0
Luxembourgish,Ech lauschteren gär Musek.,I like listening to music.,lb,nl,0.9798332452774048,de,0.9999707103816837,0
Luxembourgish,D'Blummen bléien.,The flowers are blooming.,lb,pt,0.2908344864845276,fr,0.5756686694019284,0
Luxembourgish,Dëst ass mäi léifste Film.,This is my favorite movie.,lb,ur,0.4319401681423187,lb,1.0,0
Luxembourgish,Hie schafft an enger Bank.,He works in a bank.,lb,de,0.995093584060669,de,0.8583040009155264,0
Luxembourgish,D'Kanner spillen am Park.,The children are playing in the park.,lb,ur,0.2923632860183716,de,0.9899189224619037,0
Luxembourgish,Si huet e leckere Moolzecht gekacht.,She cooked a delicious meal.,lb,de,0.9857107996940613,nl,0.9947405456423641,0
Luxembourgish,Et reent dobaussen.,It's raining outside.,lb,it,0.8207079172134399,de,0.9841749378235356,0
Luxembourgish,Mir ginn an d'Vakanz.,We are going on vacation.,lb,nl,0.4707716703414917,lb,0.997588685570882,0
Luxembourgish,Hien huet en neit Auto kaf.,He bought a new car.,lb,hi,0.8565879464149475,nl,0.9999969871352723,0
Luxembourgish,Den Hond ass ganz frëndlech.,The dog is very friendly.,lb,de,0.9914293885231018,lb,0.9999968062110973,0
Luxembourgish,Si séngt schéin.,She sings beautifully.,lb,it,0.7869436740875244,lb,0.9220422445177916,0
Luxembourgish,Si wunnen an engem groussen Haus.,They live in a big house.,lb,de,0.9794189929962158,de,0.9625126227969106,0
Luxembourgish,Hien ass e gudde Proff.,He is a good teacher.,lb,pt,0.613574743270874,lb,0.9933591565249658,0
Luxembourgish,D'Versammlung fänkt um 10 Auer un.,The meeting starts at 10 am.,lb,de,0.9673550724983215,de,0.9999999934405719,0
German,Der Hund bellt laut.,The dog barks loudly.,de,de,0.9937613606452942,de,0.9999837177705291,1
German,"Ich liebe es, Bücher zu lesen.",I love reading books.,de,de,0.9956029653549194,de,0.9999999999953304,1
German,Das Wetter ist heute schön.,The weather is nice today.,de,de,0.9929680228233337,de,0.9999999999878117,1
German,Wir gehen morgen ins Kino.,We are going to the cinema tomorrow.,de,de,0.9906975626945496,de,0.999999588472693,1
German,Sie kocht gerne italienisches Essen.,She likes to cook Italian food.,de,de,0.9933122992515564,de,0.9965208569927427,1
German,Der Apfel fällt nicht weit vom Stamm.,The apple doesn't fall far from the tree.,de,de,0.9939671754837036,de,1.0,1
German,Ich habe meine Hausaufgaben gemacht.,I have done my homework.,de,de,0.9954721927642822,de,1.0,1
German,Er spielt jeden Samstag Fußball.,He plays football every Saturday.,de,de,0.9941960573196411,de,0.999999998264381,1
German,Die Blumen im Garten blühen.,The flowers in the garden are blooming.,de,de,0.9944327473640442,de,1.0,1
German,Kannst du mir bitte helfen?,Can you help me please?,de,de,0.9953588843345642,fr,0.9952646386756238,1
German,Das Auto ist neu und schnell.,The car is new and fast.,de,de,0.9922158122062683,de,0.9999998691507024,1
German,Sie arbeitet in einem Krankenhaus.,She works in a hospital.,de,de,0.995218813419342,de,1.0,1
German,Die Kinder spielen auf dem Spielplatz.,The children are playing on the playground.,de,de,0.9931092262268066,de,1.0,1
German,Er fährt jeden Tag mit dem Fahrrad zur Arbeit.,He rides his bike to work every day.,de,de,0.9921212196350098,de,1.0,1
German,Der Kaffee schmeckt heute besonders gut.,The coffee tastes particularly good today.,de,de,0.9946666955947876,de,0.9999985228951926,1
German,Wir planen eine Reise nach Frankreich.,We are planning a trip to France.,de,de,0.9947375655174255,de,1.0,1
German,Das Buch ist sehr spannend.,The book is very exciting.,de,de,0.9948659539222717,de,0.9999999927896914,1
German,Sie singt in einem Chor.,She sings in a choir.,de,de,0.9929639101028442,de,0.9999999986029287,1
German,Der Film beginnt um 20 Uhr.,The film starts at 8 p.m.,de,de,0.9928960204124451,de,0.9999914924398339,1
German,Ich habe gestern einen langen Spaziergang gemacht.,I went for a long walk yesterday.,de,de,0.9920039772987366,de,0.9999999999966003,1
